Wenn nicht mehr Zahlen und Figuren

Wenn nicht mehr Zahlen und Figuren	Awe / Sublime
Sind Schlüssel aller Kreaturen	Awe / Sublime
Wenn die, so singen oder küssen,	Awe / Sublime
Mehr als die Tiefgelehrten wissen,	Awe / Sublime
Wenn sich die Welt ins freye Leben	Awe / Sublime
Und in die Welt wird zurück begeben,	Awe / Sublime
Wenn dann sich wieder Licht und Schatten	Awe / Sublime
Zu ächter Klarheit werden gatten,	Awe / Sublime
Und man in Mährchen und Gedichten	Awe / Sublime
Erkennt die wahren Weltgeschichten,	Awe / Sublime
Dann fliegt vor Einem geheimen Wort	Awe / Sublime
Das ganze verkehrte Wesen fort.	Awe / Sublime


Liebe und Frühling

Ich muß hinaus, ich muß zu dir,	Vitality
Ich muß es selbst dir sagen:	Vitality
Du bist mein Frühling, du nur mir	Vitality
In diesen lichten Tagen.	Vitality

Ich will die Rosen nicht mehr sehn,	Vitality --- Sadness
Nicht mehr die grünen Matten;	Vitality --- Sadness
Ich will nicht mehr zu Walde gehn	Vitality --- Sadness
Nach Duft und Klang und Schatten.	Vitality --- Sadness

Ich will nicht mehr der Lüfte Zug,	Vitality --- Sadness
Nicht mehr der Wellen Rauschen,	Vitality --- Sadness
Ich will nicht mehr der Vögel Flug	Vitality --- Sadness
Und ihrem Liede lauschen -	Vitality --- Sadness

Ich will hinaus, ich will zu dir,	Vitality
Ich will es selbst dir sagen:	Vitality
Du bist mein Frühling, du nur mir	Vitality
In diesen lichten Tagen!	Vitality


Der Gott der Stadt

Auf einem Häuserblocke sitzt er breit.	Suspense
Die Winde lagern schwarz um seine Stirn.	Suspense
Er schaut voll Wut, wo fern in Einsamkeit	Suspense
Die letzten Häuser in das Land verirrn.	Suspense

Vom Abend glänzt der rote Bauch dem Baal,	Beauty / Joy
Die großen Städte knien um ihn her.	Beauty / Joy
Der Kirchenglocken ungeheure Zahl	Beauty / Joy
Wogt auf zu ihm aus schwarzer Türme Meer.	Beauty / Joy

Wie Korybanten-Tanz dröhnt die Musik	Beauty / Joy
Der Millionen durch die Straßen laut.	Beauty / Joy
Der Schlote Rauch, sie Wolken der Fabrik	Beauty / Joy
Ziehn auf zu ihm, wie Duft von Weihrauch blaut.	Beauty / Joy

Das Wetter schwelt in seinen Augenbrauen.	Uneasiness
Der dunkle Abend wird in Nacht betäubt.	Uneasiness
Die Stürme flattern, die wie Geier schauen	Uneasiness
Von seinem Haupthaar, das im Zorne sträubt.	Uneasiness

Er streckt ins Dunkel seine Fleischerfaust.	Uneasiness
Er schüttelt sie. Ein Meer von Feuer jagt	Uneasiness
Durch eine Straße. Und der Glutqualm braust	Uneasiness
Und frisst sie auf, bis spät der Morgen tagt.	Uneasiness


Sonntagnachmittag

Auf faulen Straßen lagern Häuserrudel,	Beauty / Joy
Um deren Buckel graue Sonne hellt.	Beauty / Joy
Ein parfümierter, halbverrückter kleiner Pudel	Humor
Wirft wüste Augen in die große Welt.	Humor

In einem Fenster fängt ein Junge Fliegen.	Humor
Ein arg beschmiertes Baby ärgert sich.	Humor
Am Himmel fährt ein Zug, wo windge Wiesen liegen;	Beauty / Joy
Malt langsam einen langen dicken Strich.	Beauty / Joy

Wie Schreibmaschinen klappen Droschkenhufe.	Nostalgia --- Beauty / Joy
Und lärmend kommt ein staubger Turnverein.	Nostalgia --- Beauty / Joy
Aus Kutscherkneipen stürzen sich brutale Rufe.	Nostalgia --- Beauty / Joy
Doch feine Glocken dringen auf sie ein.	Nostalgia --- Beauty / Joy

In Rummelplätzen, wo Athleten ringen,	Nostalgia --- Beauty / Joy
Wird alles dunkler schon und ungenau.	Nostalgia --- Beauty / Joy
Ein Leierkasten heult und Küchenmädchen singen.	Nostalgia --- Beauty / Joy
Ein Mann zertrümmert eine morsche Frau.	Uneasiness


Erinnerung aus Krähwinkels Schreckenstagen

Wir Bürgermeister und Senat,	Suspense
Wir haben folgendes Mandat	Suspense
Stadtväterlichst an alle Klassen	Suspense
Der treuen Bürgerschaft erlassen.	Suspense

Ausländer, Fremde, sind es meist,	Annoyance
Die unter uns gesät den Geist	Annoyance
Der Rebellion. Dergleichen Sünder,	Annoyance
